[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	4/12/2019 1:25:32 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_9	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:37:49 PM	1	4	NPOC	8.231	7.858	3.028	NPOC:2.891mg/L	0	80	
Unknown	NPOC	NPOC_9	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:40:09 PM	1	5	NPOC	7.784	7.858	2.863	NPOC:2.891mg/L	0	80	
Unknown	NPOC	NPOC_10	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:45:22 PM	1	1	NPOC	7.486	8.747	2.754	NPOC:3.218mg/L	1	80	
Unknown	NPOC	NPOC_10	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:47:45 PM	1	2	NPOC	8.825	8.747	3.246	NPOC:3.218mg/L	0	80	
Unknown	NPOC	NPOC_10	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:50:06 PM	1	3	NPOC	8.169	8.747	3.005	NPOC:3.218mg/L	1	80	
Unknown	NPOC	NPOC_10	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:52:32 PM	1	4	NPOC	8.448	8.747	3.108	NPOC:3.218mg/L	0	80	
Unknown	NPOC	NPOC_10	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:54:55 PM	1	5	NPOC	8.969	8.747	3.299	NPOC:3.218mg/L	0	80	
Unknown	NPOC	NPOC_11	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 4:00:06 PM	1	1	NPOC	7.831	7.815	2.881	NPOC:2.875mg/L	0	80	
Unknown	NPOC	NPOC_11	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 4:02:17 PM	1	2	NPOC	7.451	7.815	2.741	NPOC:2.875mg/L	0	80	
Unknown	NPOC	NPOC_11	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 4:04:40 PM	1	3	NPOC	8.162	7.815	3.002	NPOC:2.875mg/L	0	80	
