site,trip,sample_type,sample,sampleStage_cm,analysis,NPOC_ppm,DateTime,corr_stage_cm,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA,DateTime_sampled,Date,event_ID,rain_season,collection,Date_sampled,Date_collected,HoldTime_days
Tunnel,3,Grab,Grab,NA,DOC,5.653,2018-11-23T21:45:00Z,NA,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,2018-11-23T21:45:00Z,2018-11-23,2,wet,2018-11-23T08:00:00Z,2018-11-23,2018-11-23,0
Weeks,4,Grab,Grab,45.58,DOC,8.753,2018-12-07T20:15:00Z,45.58,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2018-12-07T19:35:00Z,2018-12-07,3,wet,2018-12-07T08:00:00Z,2018-12-07,2018-12-07,0
LeechHead,4,Grab,Grab,104.093,DOC,5.832,2018-12-07T18:30:00Z,104.093,0.339,11.32,9.147,NaN,27.138599999999997,1.0000763028061175,4.3293913470842105,-0.9922319323068387,wet,4.653395061728395,4.653395061728395,2018-12-07T18:30:00Z,2018-12-07,3,wet,2018-12-07T08:00:00Z,2018-12-07,2018-12-07,0
CraggCrk,4,Grab,Grab,24.45,DOC,3.065,2018-12-07T16:45:00Z,24.45,0.01,6.101,4.983,NaN,23.56885,0.9993439892354439,3.9800812347684804,11.591228070175438,wet,7.689673735725939,7.689673735725939,2018-12-07T16:35:00Z,2018-12-07,3,wet,2018-12-07T08:00:00Z,2018-12-07,2018-12-07,0
WestLeech,4,Grab,Grab,25,DOC,2.698,2018-12-06T21:30:00Z,25,0.026,6.273,5.187,NaN,30.453200000000002,0.9997826311631239,4.19360389696344,-3.4840079252759697,wet,11.287323943661972,11.287323943661972,2018-12-06T21:30:00Z,2018-12-06,3,wet,2018-12-07T08:00:00Z,2018-12-06,2018-12-07,1
Tunnel,4,Grab,Grab,16,DOC,4.113,2018-12-06T18:00:00Z,16,0.041,6.557,5.383,NaN,30.096400000000003,0.9997245947666584,4.134279360372763,-9.268082282680822,wet,7.317383904692439,7.317383904692439,2018-12-06T18:00:00Z,2018-12-06,3,wet,2018-12-07T08:00:00Z,2018-12-06,2018-12-07,1
WestLeech,5,Grab,Grab,38.92,DOC,2.507,2019-01-07T18:00:00Z,38.92,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-07T17:35:00Z,2019-01-07,7,wet,2019-01-08T08:00:00Z,2019-01-07,2019-01-08,1
Tunnel,5,Grab,Grab,45.92,DOC,3.346,2019-01-07T20:10:00Z,45.92,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-07T19:30:00Z,2019-01-07,7,wet,2019-01-08T08:00:00Z,2019-01-07,2019-01-08,1
LeechHead,5,Grab,Grab,125.533,DOC,4.872,2019-01-07T22:15:00Z,125.533,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-07T21:35:00Z,2019-01-07,7,wet,2019-01-08T08:00:00Z,2019-01-07,2019-01-08,1
Weeks,5,Grab,Grab,70.57,DOC,6.426,2019-01-07T22:50:00Z,70.57,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-07T22:30:00Z,2019-01-07,7,wet,2019-01-08T08:00:00Z,2019-01-07,2019-01-08,1
ChrisCrk,5,Grab,Grab,28.363999999999997,DOC,2.29,2019-01-07T23:20:00Z,28.363999999999997,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-07T22:30:00Z,2019-01-07,7,wet,2019-01-08T08:00:00Z,2019-01-07,2019-01-08,1
CraggCrk,5,Grab,Grab,41.52,DOC,4.456,2019-01-08T17:00:00Z,41.52,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-01-08T16:30:00Z,2019-01-08,7,wet,2019-01-08T08:00:00Z,2019-01-08,2019-01-08,0
ChrisCrk,6,Grab,Grab,22.724000000000004,DOC,1.845,2019-02-05T18:30:00Z,22.724000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-02-05T18:30:00Z,2019-02-05,NA,wet,2019-02-06T08:00:00Z,2019-02-05,2019-02-06,1
CraggCrk,6,Grab,Grab,27.21,DOC,2.581,2019-02-05T20:00:00Z,27.21,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-02-05T19:30:00Z,2019-02-05,NA,wet,2019-02-06T08:00:00Z,2019-02-05,2019-02-06,1
WestLeech,6,Grab,Grab,25.799999999999997,DOC,2.333,2019-02-06T17:30:00Z,25.799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-02-06T17:35:00Z,2019-02-06,NA,wet,2019-02-06T08:00:00Z,2019-02-06,2019-02-06,0
Tunnel,6,Grab,Grab,10.74,DOC,2.187,2019-02-06T18:45:00Z,10.74,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-02-06T18:30:00Z,2019-02-06,NA,wet,2019-02-06T08:00:00Z,2019-02-06,2019-02-06,0
LeechHead,7,Grab,Grab,113.303,DOC,6.033,2019-04-10T18:15:00Z,113.303,0.254,8.949,7.306,NaN,21.490949999999998,1.0004103724216613,4.265975588725594,-0.6752071187480821,wet,3.5622327200397805,3.5622327200397805,2019-04-10T17:35:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
Weeks,7,Grab,R1,56.120000000000005,DOC,6.376,2019-04-10T19:00:00Z,56.120000000000005,0.408,12.477,9.967,NaN,29.89105,1.0001037043965046,4.271995708154507,-2.286338797814208,wet,4.688056775407779,4.688056775407779,2019-04-10T18:35:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
Weeks,7,Grab,R2,56.120000000000005,DOC,6.468,2019-04-10T19:00:00Z,56.120000000000005,0.506,12.54,9.918,NaN,30.03135,1.0000236970724214,4.239377366428271,-2.4425550468715937,wet,4.64306586270872,4.64306586270872,2019-04-10T18:35:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
Weeks,7,Grab,R3,56.120000000000005,DOC,6.561,2019-04-10T19:00:00Z,56.120000000000005,0.522,12.585,10.002,NaN,30.1282,1.0000838466680597,4.14826756878188,-4.105245793467502,wet,4.592013412589544,4.592013412589544,2019-04-10T18:35:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
ChrisCrk,7,Grab,Grab,23.594,DOC,2.367,2019-04-10T20:15:00Z,23.594,0,3.978,3.321,NaN,9.55565,1.0018927203102852,4.183354403708385,0.14610084559974945,wet,4.037029995775243,4.037029995775243,2019-04-10T19:35:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
CraggCrk,7,Grab,R1,33.5,DOC,3.163,2019-04-10T22:00:00Z,33.5,0.079,5.266,4.419,NaN,12.646149999999999,1.0012132806483518,4.329957109864731,-0.06295247088448222,wet,3.9981504900411,3.9981504900411,2019-04-10T21:30:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
CraggCrk,7,Grab,R2,33.5,DOC,3.072,2019-04-10T22:00:00Z,33.5,0.078,5.239,4.399,NaN,12.579,1.0013756942298269,4.4421192323397305,0.02759025535661873,wet,4.0947265625,4.0947265625,2019-04-10T21:30:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
CraggCrk,7,Grab,R3,33.5,DOC,2.74,2019-04-10T22:00:00Z,33.5,0.073,5.218,4.419,NaN,12.5257,1.0009426071157896,4.498874536828618,0.04874796266113498,wet,4.571423357664234,4.571423357664234,2019-04-10T21:30:00Z,2019-04-10,NA,wet,2019-04-11T08:00:00Z,2019-04-10,2019-04-11,1
WestLeech,7,Grab,Grab,29.22,DOC,3.218,2019-04-11T17:45:00Z,29.22,0.104,5.82,4.817,NaN,13.773700000000002,1.0010859298010761,4.2632648183556405,-0.07381676074685194,wet,4.280205096333127,4.280205096333127,2019-04-11T17:35:00Z,2019-04-11,NA,wet,2019-04-11T08:00:00Z,2019-04-11,2019-04-11,0
Tunnel,7,Grab,R1,15.87,DOC,2.875,2019-04-11T19:30:00Z,15.87,0.041,5.862,4.908,NaN,14.076899999999998,1.0007895785738357,4.370126749564486,0.022477995937711576,wet,4.89631304347826,4.89631304347826,2019-04-11T19:35:00Z,2019-04-11,NA,wet,2019-04-11T08:00:00Z,2019-04-11,2019-04-11,0
Tunnel,7,Grab,R2,15.87,DOC,3.2,2019-04-11T19:30:00Z,15.87,0.054,5.851,4.887,NaN,14.05685,1.0009684620408312,4.469377093512799,0.025555290183902554,wet,4.392765625,4.392765625,2019-04-11T19:35:00Z,2019-04-11,NA,wet,2019-04-11T08:00:00Z,2019-04-11,2019-04-11,0
Tunnel,7,Grab,R3,15.87,DOC,3.005,2019-04-11T19:30:00Z,15.87,0.032,5.895,4.908,NaN,14.15855,1.0006996650897846,4.263821730265074,-0.1834212509419744,wet,4.711663893510815,4.711663893510815,2019-04-11T19:35:00Z,2019-04-11,NA,wet,2019-04-11T08:00:00Z,2019-04-11,2019-04-11,0
