Trip,Parameters,UNITS,MAC,AO,OG,WESTLEECH,WEEKSOUT,TUNNEL,LEECHHEAD,CRAGGCREEK,CHRISCREEK,BONEYARD
5,Total Nickel (Ni),ug/L,-,-,-,<1.0,<1.0,<1.0,1.5,<1.0,<1.0,-
5,Total Selenium (Se),ug/L,50,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
5,Total Silicon (Si),ug/L,-,-,-,2150,1910,2220,1810,1890,1780,-
5,Total Silver (Ag),ug/L,-,-,-,<0.020,<0.020,0.074,<0.020,<0.020,<0.020,-
5,Total Strontium (Sr),ug/L,-,-,-,10.3,9.2,10.6,8.6,7.1,6.5,-
5,Total Thallium (Tl),ug/L,-,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
5,Total Tin (Sn),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
5,Total Titanium (Ti),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
5,Total Uranium (U),ug/L,20,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
5,Total Vanadium (V),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
5,Total Zinc (Zn),ug/L,-,5000,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
5,Total Zirconium (Zr),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
5,Total Calcium (Ca),mg/L,-,-,-,1.42,1.48,1.92,1.38,1.66,1.36,-
5,Total Magnesium (Mg),mg/L,-,-,-,0.357,0.395,0.424,0.4,0.454,0.473,-
5,Total Potassium (K),mg/L,-,-,-,0.194,0.101,0.134,0.086,0.056,0.058,-
5,Total Sodium (Na),mg/L,-,200,-,1.61,1.29,1.37,1.24,1.11,1.19,-
5,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,<3.0,<3.0,<3.0,<3.0,-
6,Total Hardness (CaCO3),mg/L,-,-,-,6.46,5.41,7.91,5.94,6.8,6.48,-
6,Total Mercury (Hg),ug/L,1,-,-,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,-
6,Total Aluminum (Al),ug/L,-,-,100,57.3,232,58.8,109,54.8,40.2,-
6,Total Antimony (Sb),ug/L,6,-,-,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,-
6,Total Arsenic (As),ug/L,10,-,-,0.1,0.11,<0.10,<0.10,<0.10,<0.10,-
6,Total Barium (Ba),ug/L,1000,-,-,3.4,3.5,2.7,2.9,1.7,2,-
6,Total Beryllium (Be),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
6,Total Bismuth (Bi),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
6,Total Boron (B),ug/L,5000,-,-,<50,<50,<50,<50,<50,<50,-
6,Total Cadmium (Cd),ug/L,5,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
6,Total Chromium (Cr),ug/L,50,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
6,Total Cobalt (Co),ug/L,-,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
6,Total Copper (Cu),ug/L,-,1000,-,<0.50,0.77,0.43,0.63,0.41,0.61,-
6,Total Iron (Fe),ug/L,-,300,-,21,193,23.6,75,13.2,15,-
6,Total Lead (Pb),ug/L,10,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
6,Total Manganese (Mn),ug/L,-,50,-,<1.0,6.1,<1.0,1.8,<1.0,<1.0,-
6,Total Molybdenum (Mo),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
6,Total Nickel (Ni),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
6,Total Selenium (Se),ug/L,50,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
6,Total Silicon (Si),ug/L,-,-,-,2280,1680,2160,1700,1690,1870,-
6,Total Silver (Ag),ug/L,-,-,-,<0.020,<0.020,<0.020,<0.020,<0.020,<0.020,-
6,Total Strontium (Sr),ug/L,-,-,-,13.4,10,14.4,10.2,8.5,7.6,-
6,Total Thallium (Tl),ug/L,-,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
6,Total Tin (Sn),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
6,Total Titanium (Ti),ug/L,-,-,-,<5.0,6,<5.0,<5.0,<5.0,<5.0,-
6,Total Uranium (U),ug/L,20,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
6,Total Vanadium (V),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
6,Total Zinc (Zn),ug/L,-,5000,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
6,Total Zirconium (Zr),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
6,Total Calcium (Ca),mg/L,-,-,-,1.85,1.42,2.33,1.61,1.82,1.67,-
6,Total Magnesium (Mg),mg/L,-,-,-,0.446,0.45,0.512,0.464,0.551,0.559,-
6,Total Potassium (K),mg/L,-,-,-,0.212,0.079,0.124,0.066,<0.050,0.051,-
