trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA
2,10.66,Jarvis,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,0.62,17.378,13.993,NaN,15.41345,1.0005514128375304,3.9419899069859494,-0.5411836485661989,wet,1.4459146341463414,1.4459146341463414
2,15.12,W.trib-to-Weeks,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,NaN,NaN,NaN,NaN,41.44135,1.000139157659662,4.325018246533159,-1.9236223962180532,wet,2.7408300264550265,2.7408300264550265
2,5.343,Boneyard,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC,0.234,9.693,7.859,NaN,56.6896,1.0000244123821707,4.265056657223797,-4.084453701950388,wet,10.610069249485308,10.610069249485308
2,8.357,Weeks-Gate,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,0.538,13.802,11.227,NaN,23.27735,1.000339453528296,4.389936878103796,-0.6437441580985445,wet,2.785371544812732,2.785371544812732
2,6.225,Weeks-Lake,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC,0.346,9.889,7.81,NaN,33.089600000000004,0.38487634504800217,4.40290666462152,-1.4571558796718322,wet,5.315598393574298,5.315598393574298
2,5.325,Leech-downstreamconf,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC,0.1935,8.789,7.1545000000000005,NaN,18.725675000000003,1.0002474331379558,4.261155662968252,-0.746513470681458,wet,3.5165586854460096,3.5165586854460096
2,7.588,Lab,QA-QC,CAL-VER_5.7ppm,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,14.41,Lab,QA-QC,CAL-VER_11.4ppm,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,0.3997,Lab,QA-QC,RO_pH<2,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
2,0.5614,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
3,11.42,Jarvis,Grab,Grab,2018-11-23T16:25:00Z,NA,DOC,0.607,15.914,12.917,NaN,38.01325,1.0000525685560846,4.282673491868075,-1.4915711395819287,wet,3.328655866900175,3.328655866900175
3,7.605,ChrisCrk,Rack,L1,NA,25,DOC,0.455,10.349,8.244,NaN,24.82145,0.9991977011497454,4.141047148860023,-4.620689655172413,wet,3.263833004602235,3.263833004602235
3,4.338,ChrisCrk,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844
3,10.49,Weeks,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
3,7.675,LeechHead,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167
3,5.267,CraggCrk,Rack,L1,NA,45,DOC,0.3,9.253,7.389,NaN,22.21335,0.9994260037365678,4.085850894280148,-4.418820087762067,wet,4.217457755838238,4.217457755838238
3,5.177,CraggCrk,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812
3,6.224,WestLeech,Rack,L1,NA,40,DOC,0.25,8.912,7.045,NaN,21.3919,0.9996732867353709,3.994648166501486,-2.282044042913608,wet,3.4370019280205653,3.4370019280205653
3,6.74,WestLeech,Rack,L2,NA,48,DOC,0.424,11.27,8.923,NaN,27.012050000000002,0.999737518280047,4.073260551230192,-2.3120292170737273,wet,4.007722551928784,4.007722551928784
3,6.124,WestLeech,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076
3,5.362,Boneyard,Grab,Grab,2018-11-23T21:20:00Z,NA,DOC,0.28,9.588,7.731,NaN,22.988799999999998,0.9999248381745575,4.227449593208348,-1.0564215520162659,wet,4.287355464378963,4.287355464378963
3,5.653,Tunnel,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965
