trip,vial,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis
17,43,4.114,Tunnel,QA-QC,HoldTime-A7,2019-10-23T17:00:00Z,NA,DOC
17,44,4.11,Tunnel,QA-QC,HoldTime-A8,2019-10-23T17:00:00Z,NA,DOC
17,45,4.133,Tunnel,QA-QC,HoldTime-A9,2019-10-23T17:00:00Z,NA,DOC
17,46,4.396,Tunnel,QA-QC,HoldTime-A10,2019-10-23T17:00:00Z,NA,DOC
17,47,5.987,Lab,QA-QC,Cal-ver2_5.566ppm,NA,NA,DOC
17,48,0.6751,Lab,QA-QC,RO,NA,NA,DOC
17,49,0.5814,Lab,QA-QC,RO,NA,NA,DOC
17,50,0.5384,Lab,QA-QC,RO,NA,NA,DOC
18,1,5.115,Leech-downstreamconf,Grab,Grab,2019-11-13T18:20:00Z,NA,DOC
18,2,3.689,Lazar,Grab,Grab,2019-11-14T19:00:00Z,NA,DOC
18,3,4.228,West-Leech,Grab,Grab,2019-11-13T18:10:00Z,20,DOC
18,4,2.498,Survey-East,Grab,Grab,2019-11-14T19:30:00Z,NA,DOC
18,5,10,Weeks-out,Grab,Grab,2019-11-14T18:00:00Z,43,DOC
18,6,2.743,Chris-crk,Grab,Grab,2019-11-14T18:30:00Z,21,DOC
18,7,6.188,Leech-head,Grab,Grab,2019-11-14T17:00:00Z,99,DOC
18,8,3.576,Cragg-crk,Grab,Algae,2019-11-13T08:00:00Z,NA,DOC
18,9,2.89,Cragg-crk,Grab,Grab,2019-11-13T23:30:00Z,17,DOC
18,10,2.833,Cragg-crk,Grab,Grab,2019-11-13T23:30:00Z,17,DOC
18,11,2.842,Cragg-crk,Grab,Grab,2019-11-14T21:00:00Z,NA,DOC
18,12,3.019,Tunnel,Grab,Treatability,2019-11-12T19:30:00Z,0,DOC
18,13,3.426,Tunnel,Grab,Treatability,2019-11-12T19:30:00Z,0,DOC
18,14,5.258,Tunnel,QA-QC,HoldTime-B6,2019-11-12T18:00:00Z,NA,DOC
18,15,5.443,Tunnel,QA-QC,HoldTime-B7,2019-11-12T18:00:00Z,NA,DOC
18,16,5.482,Tunnel,QA-QC,HoldTime-B8,2019-11-12T18:00:00Z,NA,DOC
18,17,5.542,Tunnel,QA-QC,HoldTime-B9,2019-11-12T18:00:00Z,NA,DOC
18,18,5.537,Tunnel,QA-QC,HoldTime-B10,2019-11-12T18:00:00Z,NA,DOC
18,19,3.47,Tunnel,QA-QC,HoldTime-C1,2019-11-12T18:00:00Z,NA,DOC
18,20,3.436,Tunnel,QA-QC,HoldTime-C2,2019-11-12T18:00:00Z,NA,DOC
18,21,3.221,Tunnel,QA-QC,HoldTime-C3,2019-11-12T18:00:00Z,NA,DOC
18,22,3.349,Tunnel,QA-QC,HoldTime-C4,2019-11-12T18:00:00Z,NA,DOC
18,23,3.078,Tunnel,QA-QC,HoldTime-C5,2019-11-12T18:00:00Z,NA,DOC
18,24,3.7,Tunnel,Grab,R1,2019-11-13T22:00:00Z,NA,DOC
18,25,3.58,Tunnel,Grab,R2,2019-11-13T22:00:00Z,NA,DOC
18,26,3.7,Tunnel,Grab,R3,2019-11-13T22:00:00Z,NA,DOC
18,27,4.628,Tunnel,Grab,R4,2019-11-13T22:00:00Z,NA,DOC
18,28,3.628,Tunnel,Grab,R5,2019-11-13T22:00:00Z,NA,DOC
18,29,7.569,Judge,Grab,Treatability,2019-11-12T23:00:00Z,NA,DOC
18,30,7.438,Judge,Grab,Treatability,2019-11-12T23:00:00Z,NA,DOC
18,31,2.39,Rithet,Grab,Treatability,2019-11-12T22:00:00Z,NA,DOC
18,32,2.283,Rithet,Grab,Treatability,2019-11-12T22:00:00Z,NA,DOC
18,33,2.528,Rithet,Grab,Grab,2019-11-14T08:00:00Z,NA,DOC
18,34,3.102,Deception-res,Grab,Treatability,2019-11-12T18:00:00Z,NA,DOC
18,35,3.124,Deception-res,Grab,Treatability,2019-11-12T18:00:00Z,NA,DOC
18,36,2.164,Deception-crk,Grab,Grab,2019-11-12T18:30:00Z,NA,DOC
18,37,0.65,Lab,QA-QC,RO,NA,NA,DOC
18,38,6.128,Lab,QA-QC,Cal-Ver,NA,NA,DOC
18,39,0.5701,Lab,QA-QC,RO,NA,NA,DOC
18,40,0.6102,Lab,QA-QC,RO,NA,NA,DOC
19,1,5.83,Rithet,Grab,Grab,2019-11-22T22:30:00Z,NA,DOC
19,2,9.512,Jarvis,Grab,Grab,2019-11-22T22:00:00Z,NA,DOC
19,3,4.894,Lazar,Grab,Grab,2019-11-22T21:30:00Z,NA,DOC
19,4,9.016,Weeks-out,Grab,Grab,2019-11-22T20:30:00Z,NA,DOC
19,5,10.06,Weeks-out,Rack,L1,NA,49,DOC
19,6,10.1,Weeks-out,Rack,L2,NA,63,DOC
19,7,10.62,Weeks-out,Rack,L3,NA,79,DOC
19,8,2.822,Chris-crk,Grab,Grab,2019-11-22T21:00:00Z,25,DOC
19,9,5.634,Chris-crk,Rack,L1,NA,28,DOC
19,10,6.746,Chris-crk,Rack,L2,NA,37,DOC
19,11,6.761,Leech-head,Grab,Grab,2019-11-22T19:50:00Z,115,DOC
