site,trip,event_ID,DOC,sd_DOC,Nitrate,sd_Nitrate,surrDOC,sd_surrDOC,SAC254,sd_SAC254,est254,sd_est254,SUVA,sd_SUVA,pseudo_SUVA,sd_pseudo_SUVA
ChrisCrk,23,12,4.835,0.04666904755831265,0.095,0.0311126983722081,5.7565,0.2510229073212247,14.0395,0.6116473657263638,16.47155,0.7424621202458742,2.9032475683748586,NA,3.406149726798304,NA
WestLeech,23,12,4.9990000000000006,0.779231672867575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,23,12,5.909,NA,0.05,NA,5.577,NA,13.603,NA,16.7237,NA,2.3020815704857,NA,2.8302081570485704,NA
Weeks,23,13,4.255,NA,0.051,NA,5.379,NA,13.119,NA,15.753499999999999,NA,3.083196239717979,NA,3.7023501762632196,NA
ChrisCrk,23,13,3.197,1.7819090885900997,0,0,3.7279999999999998,1.3024906909456206,9.0925,3.175616554308784,10.833849999999998,3.6504387578755515,3.039355644002132,NA,3.63520024245909,NA
LeechHead,23,13,5.660500000000001,0.007778174593052108,0.157,0.04525483399593904,6.542,0.3210264786586924,15.956500000000002,0.7827672067735089,19.3637,1.227042397393015,2.8190182617833335,NA,3.4209983800559467,NA
CraggCrk,23,13,5.433333333333334,0.49062137472121314,0.111,0.006082762530298225,6.0760000000000005,0.239977082239117,14.819333333333333,0.5859269010152485,17.280383333333333,0.8378556055988015,2.736374909448038,NA,3.189144560734475,NA
WestLeech,23,13,3.5515,0.2623366158202091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,23,13,5.108666666666667,0.21658331730152572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,23,15,6.869,NA,0.331,NA,8.69,NA,21.194,NA,25.252450000000003,NA,3.0854563983112535,NA,3.6762920366865632,NA
ChrisCrk,23,15,3.077,NA,0,NA,3.736,NA,9.112,NA,10.18555,NA,2.9613259668508287,NA,3.310220994475138,NA
LeechHead,23,15,5.261,NA,0.101,NA,6.081,NA,14.832,NA,17.795299999999997,NA,2.8192358867135527,NA,3.382493822467211,NA
CraggCrk,23,15,4.371666666666667,0.6324692350884219,0.03366666666666667,0.057448527686384906,5.5120000000000005,0.6328435825699746,13.443333333333333,1.5440286050890806,15.41115,2.0166506489722003,3.0843691800512882,NA,3.530721947274106,NA
WestLeech,23,15,4.1445,1.1193500346183045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,23,16,3.665,NA,0,NA,4.204,NA,10.254,NA,12.263349999999999,NA,2.7978171896316506,NA,3.346070941336971,NA
LeechHead,23,16,4.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,23,16,4.1535,0.8464068170802971,0.023,0.03252691193458118,5.16,0.7396336931211289,12.5855,1.8052436123692563,14.49525,1.9588272052429734,3.04912042364574,NA,3.5148152010612455,NA
WestLeech,23,16,3.7010000000000005,0.9022682527940349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,23,16,4.4079999999999995,0.980049998724555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,23,17,3.782,NA,0.04,NA,5.121,NA,12.489,NA,15.24385,NA,3.302221047065045,NA,4.0306319407720785,NA
ChrisCrk,23,17,4.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,23,17,4.288,NA,0.019,NA,4.794,NA,11.692,NA,13.67015,NA,2.7266791044776117,NA,3.1880013992537313,NA
WestLeech,23,17,4.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,23,17,5.209,NA,0.098,NA,5.858,NA,14.289,NA,17.90945,NA,2.7431368784795547,NA,3.438174313687848,NA
Weeks,23,18,6.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,23,18,2.492,NA,0,NA,3.032,NA,7.395,NA,8.65635,NA,2.9674959871589084,NA,3.47365569823435,NA
LeechHead,23,18,5.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,23,18,2.9675,0.09404520189781083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
