StationName,DateTime,Temp,Rh,Rn_1,Mx_Spd,Dir
,DateTime,C,%,mm,kph,Degree
FWx Chris Creek,2018-09-10 20:00,11.1,90,0,17,208
FWx Chris Creek,2018-09-10 21:00,10.5,93,0,22,191
FWx Chris Creek,2018-09-10 22:00,9.9,94,0,17,127
FWx Chris Creek,2018-09-10 23:00,10.6,95,0,10,193
FWx Chris Creek,2018-09-11 0:00,10.6,94,0.25,18,152
FWx Chris Creek,2018-09-11 1:00,10.4,97,0,17,106
FWx Chris Creek,2018-09-11 2:00,10.5,97,1.27,9,116
FWx Chris Creek,2018-09-11 3:00,10.3,98,3.05,8,108
FWx Chris Creek,2018-09-11 4:00,10.2,98,1.02,7,146
FWx Chris Creek,2018-09-11 5:00,9.8,98,0,7,82
FWx Chris Creek,2018-09-11 6:00,9,98,0.25,6,44
FWx Chris Creek,2018-09-11 7:00,9.5,98,0,5,48
FWx Chris Creek,2018-09-11 8:00,10.6,97,0,4,40
FWx Chris Creek,2018-09-11 9:00,12.1,91,0,5,111
FWx Chris Creek,2018-09-11 10:00,13.7,75,0,21,226
FWx Chris Creek,2018-09-11 11:00,12.9,75,0,21,229
FWx Chris Creek,2018-09-11 12:00,15.8,64,0,23,217
FWx Chris Creek,2018-09-11 13:00,15.6,60,0,27,218
FWx Chris Creek,2018-09-11 14:00,13.9,69,0,22,250
FWx Chris Creek,2018-09-11 15:00,16.2,56,0,24,232
FWx Chris Creek,2018-09-11 16:00,13.2,72,0,23,230
FWx Chris Creek,2018-09-11 17:00,14.2,65,0,21,232
FWx Chris Creek,2018-09-11 18:00,12.9,71,0,18,218
FWx Chris Creek,2018-09-11 19:00,11.2,83,0,16,214
FWx Chris Creek,2018-09-11 20:00,9.5,93,0,7,48
FWx Chris Creek,2018-09-11 21:00,8.9,93,0,9,30
FWx Chris Creek,2018-09-11 22:00,9,95,0,5,50
FWx Chris Creek,2018-09-11 23:00,8.4,97,0,4,342
FWx Chris Creek,2018-09-12 0:00,8.4,98,0,4,45
FWx Chris Creek,2018-09-12 1:00,8.5,98,0,4,30
FWx Chris Creek,2018-09-12 2:00,8.5,98,0,5,226
FWx Chris Creek,2018-09-12 3:00,7.1,97,0,6,41
FWx Chris Creek,2018-09-12 4:00,5.6,97,0,6,77
FWx Chris Creek,2018-09-12 5:00,5.4,98,0,6,35
FWx Chris Creek,2018-09-12 6:00,5.5,98,0,5,26
FWx Chris Creek,2018-09-12 7:00,6.8,99,0,5,122
FWx Chris Creek,2018-09-12 8:00,8.8,98,0,5,234
FWx Chris Creek,2018-09-12 9:00,11,91,0,5,240
FWx Chris Creek,2018-09-12 10:00,13.7,68,0,8,191
FWx Chris Creek,2018-09-12 11:00,13.5,71,0,11,187
FWx Chris Creek,2018-09-12 12:00,12.4,84,0.76,12,11
FWx Chris Creek,2018-09-12 13:00,11.7,88,1.52,9,188
FWx Chris Creek,2018-09-12 14:00,11.9,87,0.76,6,146
FWx Chris Creek,2018-09-12 15:00,12.3,89,1.52,6,221
FWx Chris Creek,2018-09-12 16:00,11.9,90,0,8,285
FWx Chris Creek,2018-09-12 17:00,11.5,91,0,5,351
FWx Chris Creek,2018-09-12 18:00,12.4,88,0,0,24
FWx Chris Creek,2018-09-12 19:00,10.1,96,0,5,0
FWx Chris Creek,2018-09-12 20:00,9.3,96,0,7,317
FWx Chris Creek,2018-09-12 21:00,8.6,97,0,8,22
FWx Chris Creek,2018-09-12 22:00,7.6,97,0,7,31
FWx Chris Creek,2018-09-12 23:00,7.4,98,0,6,11
FWx Chris Creek,2018-09-13 0:00,7.7,98,0,7,300
FWx Chris Creek,2018-09-13 1:00,8,98,0,7,32
FWx Chris Creek,2018-09-13 2:00,8.3,96,0,7,40
FWx Chris Creek,2018-09-13 3:00,8.5,95,0,7,336
FWx Chris Creek,2018-09-13 4:00,8,97,0,5,282
FWx Chris Creek,2018-09-13 5:00,7.8,98,0,8,45
FWx Chris Creek,2018-09-13 6:00,7.7,98,0,5,88
FWx Chris Creek,2018-09-13 7:00,8.1,98,0,5,43
FWx Chris Creek,2018-09-13 8:00,9.7,97,0,4,21
FWx Chris Creek,2018-09-13 9:00,11.9,79,0,6,143
FWx Chris Creek,2018-09-13 10:00,12.6,80,0,10,277
FWx Chris Creek,2018-09-13 11:00,14.4,71,0,13,290
FWx Chris Creek,2018-09-13 12:00,14.6,68,0,16,276
FWx Chris Creek,2018-09-13 13:00,13.1,74,0,20,285
