trip,site,sample_type,sample,dt_sampled,fillStage_cm,analyte,result
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,DOCeq_ppm,6.639
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC254_Abs.m,16.194
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC436_Abs.m,0.287
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NPOC_ppm,10.26
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,Turbid.FTUeq,0
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NO3.Neq_ppm,0.121
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,TOCeq_ppm,8.338
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,DOCeq_ppm,6.969
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC254_Abs.m,16.998
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC436_Abs.m,0.292
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NPOC_ppm,10.26
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,Turbid.FTUeq,0
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NO3.Neq_ppm,0.129
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,TOCeq_ppm,8.373
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,DOCeq_ppm,6.973
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC254_Abs.m,17.007
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,SAC436_Abs.m,0.293
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NPOC_ppm,7.171
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,Turbid.FTUeq,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NO3.Neq_ppm,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,TOCeq_ppm,3.253
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,DOCeq_ppm,2.778
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC254_Abs.m,6.776
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC436_Abs.m,0.167
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NPOC_ppm,7.171
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,Turbid.FTUeq,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NO3.Neq_ppm,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,TOCeq_ppm,2.835
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,DOCeq_ppm,2.493
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC254_Abs.m,6.08
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC436_Abs.m,0.165
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NPOC_ppm,7.171
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,Turbid.FTUeq,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,NO3.Neq_ppm,0
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,TOCeq_ppm,2.807
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,DOCeq_ppm,2.416
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC254_Abs.m,5.892
10,Lazar,Grab,Grab,2019-06-12T20:35:00Z,NA,SAC436_Abs.m,0.142
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NPOC_ppm,12.68
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,Turbid.FTUeq,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NO3.Neq_ppm,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,TOCeq_ppm,3.721
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,DOCeq_ppm,3.066
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC254_Abs.m,7.479
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC436_Abs.m,0.179
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NPOC_ppm,12.68
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,Turbid.FTUeq,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NO3.Neq_ppm,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,TOCeq_ppm,3.76
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,DOCeq_ppm,3.162
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC254_Abs.m,7.711
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,SAC436_Abs.m,0.207
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NPOC_ppm,12.68
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,Turbid.FTUeq,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,NO3.Neq_ppm,0
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,TOCeq_ppm,3.804
10,Rithet,Grab,Grab,2019-06-12T23:00:00Z,NA,DOCeq_ppm,3.111
