trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
7,Weeks-out,Grab,R2,2019-04-10T19:00:00Z,61,0,0.506,12.54,9.918,NaN,NaN
7,Weeks-out,Grab,R3,2019-04-10T19:00:00Z,61,0,0.522,12.585,10.002,NaN,NaN
7,Chris-crk,Grab,Grab,2019-04-10T20:15:00Z,25,0,0,3.978,3.321,NaN,NaN
9,West-Leech,Grab,FP0531,2019-05-31T19:15:00Z,NA,0,0,3.088,2.633,NaN,NaN
9,Tunnel,Grab,FP0531,2019-05-31T20:15:00Z,NA,0,0,3.064,2.675,NaN,NaN
9,Cragg-crk,Grab,FP0531,2019-05-31T18:15:00Z,NA,0,0,3.079,2.652,NaN,NaN
9,Leech-head,Grab,FP0531,2019-05-31T16:45:00Z,NA,0,0.077,6.341,5.254,NaN,NaN
9,Weeks-out,Grab,FP0531,2019-05-31T17:00:00Z,NA,0,0.611,16.2645,12.927499999999998,NaN,NaN
9,Chris-crk,Grab,FP0531,2019-05-31T17:30:00Z,NA,0,0,4.367,3.648,NaN,NaN
9,Jarvis,Grab,FP0531,2019-05-31T16:00:00Z,NA,0,0.293,10.527,8.853,NaN,NaN
9,Lazar,Grab,FP0531,2019-05-31T15:50:00Z,NA,0,0,3.366,2.857,NaN,NaN
9,Rithet,Grab,FP0531,2019-05-31T15:30:00Z,NA,0,0,4.528,3.576,NaN,NaN
9,Judge-crk,Grab,FP0531,2019-05-31T15:10:00Z,NA,0,0.301,10.403,8.624,NaN,NaN
10,West-Leech,Grab,Grab,2019-06-12T17:30:00Z,NA,0,0,2.5116666666666667,2.146,5.234666666666667,0.12466666666666668
10,Tunnel,Grab,Grab,2019-06-12T18:30:00Z,NA,0,0,2.586,2.205,5.378,0.13033333333333333
10,Cragg-crk,Grab,Grab,2019-06-12T19:15:00Z,NA,0,0,2.5549999999999997,2.257,5.504333333333333,0.137
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,0,0,3.8516666666666666,3.2796666666666665,7.999333333333333,0.18666666666666668
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,0,0.562,14.369,11.367999999999999,27.7265,0.484
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,0,0,3.094666666666667,2.6936666666666667,6.570333333333333,0.16133333333333333
