trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,pseudo254,Abs_250,Abs_365,sample_slope1,sample_slope2,SlopeRatio,E2E3,trip_end,three_seasons,two_seasons,SUVA
11,1.041,Lab,QA-QC,RO,NA,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-28,summer [June-Oct],dry,NA
11,6.959,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA,DOC,0,0,4.69,3.779333333333333,9.218,0.19833333333333333,11.275116666666666,11.574666666666667,2.6822333333333335,-0.999813917281189,-0.998843367077928,1.000971674073484,4.315309381485578,2019-06-28,summer [June-Oct],dry,0.7549359947927967
11,4.788,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA,DOC,0,0,2.493333333333333,2.131666666666667,5.199,0.14133333333333334,6.000816666666667,6.1639333333333335,1.4427,-0.9996746271277155,-0.9955828677738023,1.004109913384772,4.272498324900072,2019-06-28,summer [June-Oct],dry,0.9209463358338142
11,6.066,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOC,0,0,2.5166666666666666,2.124833333333333,5.182333333333333,0.152,6.062666666666667,6.21715,1.5210333333333332,-0.999732924176219,-0.9950164201411738,1.0047401268356717,4.087451513225658,2019-06-28,summer [June-Oct],dry,1.1705152119379945
11,6.125,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA,DOC,0,0,2.5166666666666666,2.124833333333333,5.182333333333333,0.152,6.062666666666667,6.21715,1.5210333333333332,-0.999732924176219,-0.9950164201411738,1.0047401268356717,4.087451513225658,2019-06-28,summer [June-Oct],dry,1.1819000450247636
11,4.184,Cragg-crk,Grab,Grab,2019-06-28T19:30:00Z,NA,DOC,0,0,2.4313333333333333,2.121,5.172666666666666,0.145,5.854283333333333,6.0004333333333335,1.3679666666666668,-0.9999065506481576,-0.992750114312391,1.007208698576402,4.386388557226053,2019-06-28,summer [June-Oct],dry,0.8088671220518109
11,6.168,Leech-head,Grab,Grab,2019-06-28T20:30:00Z,NA,DOC,0,0,3.667333333333333,3.1046666666666667,7.572666666666667,0.18533333333333332,8.818633333333334,9.086466666666666,2.0764,-0.9998056136769504,-0.9973612259596234,1.0024508549697981,4.376067552815771,2019-06-28,summer [June-Oct],dry,0.8145083193943129
11,12.01,Weeks-out,Grab,Grab,2019-06-28T20:45:00Z,NA,DOC,0.104,0.482,13.668333333333333,10.386,25.332,0.5023333333333333,32.74263333333333,34.0701,8.697166666666666,NA,NA,NA,3.91737922311864,2019-06-28,summer [June-Oct],dry,0.47410390020527393
11,6.55,Weeks-Lake,Grab,Grab,2019-06-28T21:15:00Z,NA,DOC,0,0.13466666666666666,7.842,6.443,15.714333333333332,0.2733333333333334,18.8318,19.401166666666665,4.2527333333333335,-0.9999527220913044,-0.999504215163828,1.0004487294007087,4.562046370177611,2019-06-28,summer [June-Oct],dry,0.4168169187366099
11,6.447,Chris-crk,Grab,Grab,2019-06-28T21:20:00Z,NA,DOC,0,0,3.8213333333333335,3.344333333333333,8.157666666666668,0.20299999999999999,9.20015,9.459133333333334,2.0634333333333332,-0.9996683614986739,-0.9963329522381135,1.0033476853827508,4.584172011049546,2019-06-28,summer [June-Oct],dry,0.7902995137498467
11,4.479,Worley-Lake,Grab,Grab,2019-06-28T21:50:00Z,NA,DOC,0,0,4.303,3.705,9.036333333333333,0.18266666666666667,10.34535,10.600200000000001,2.2030666666666665,-0.9999587193970155,-0.9972624170686094,1.0027037039421698,4.811565696302125,2019-06-28,summer [June-Oct],dry,0.4956656460953927
11,5.919,Jarvis,Grab,Grab,2019-06-28T22:10:00Z,NA,DOC,0,0.07666666666666667,7.185666666666666,6.030666666666667,14.709,0.2743333333333333,17.271700000000003,17.849,3.9421333333333335,-0.9998855031987456,-0.9992031925555526,1.0006828547469389,4.527751471284583,2019-06-28,summer [June-Oct],dry,0.40240668978176625
