source,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip,measurement,site,sample_type,sample,dt_sampled,fillStage_cm
Trip11,0,0.081,7.209,6.023,14.69,0.271,11,31,Jarvis,Grab,Grab,2019-06-28T22:10:00Z,NA
Trip11,0,0.064,7.175,6.052,14.761,0.283,11,32,Jarvis,Grab,Grab,2019-06-28T22:10:00Z,NA
Trip11,0,0.085,7.173,6.017,14.676,0.269,11,33,Jarvis,Grab,Grab,2019-06-28T22:10:00Z,NA
Trip11,0,0,4.529,3.937,9.602,0.183,11,34,Jarvis-Lake,Grab,Grab,2019-06-28T22:30:00Z,NA
Trip11,0,0,4.545,3.877,9.456,0.164,11,35,Jarvis-Lake,Grab,Grab,2019-06-28T22:30:00Z,NA
Trip11,0,0,4.514,3.939,9.608,0.192,11,36,Jarvis-Lake,Grab,Grab,2019-06-28T22:30:00Z,NA
Trip11,0,0,2.862,2.464,6.011,0.185,11,37,Lazar,Grab,Grab,2019-06-28T22:40:00Z,NA
Trip11,0,0,2.889,2.372,5.785,0.158,11,38,Lazar,Grab,Grab,2019-06-28T22:40:00Z,NA
Trip11,0,0,2.909,2.391,5.831,0.16,11,39,Lazar,Grab,Grab,2019-06-28T22:40:00Z,NA
Trip11,0,0,4.783,3.879,9.461,0.224,11,40,Rithet,Grab,Grab,2019-06-28T23:15:00Z,NA
Trip11,0,0,4.727,3.865,9.427,0.212,11,41,Rithet,Grab,Grab,2019-06-28T23:15:00Z,NA
Trip11,0,0,4.747,3.846,9.382,0.21,11,42,Rithet,Grab,Grab,2019-06-28T23:15:00Z,NA
Trip13,0,0,4.298,3.494,8.522,0.191,13,1,Rithet,Grab,Grab,2019-07-24T17:00:00Z,NA
Trip13,0,0,4.28,3.534,8.619,0.202,13,2,Rithet,Grab,Grab,2019-07-24T17:00:00Z,NA
Trip13,0,0,4.339,3.492,8.516,0.184,13,3,Rithet,Grab,Grab,2019-07-24T17:00:00Z,NA
Trip13,0,0,2.449,2.094,5.107,0.127,13,4,Lazar,Grab,Grab,2019-07-24T17:20:00Z,NA
Trip13,0,0,2.384,2.126,5.185,0.139,13,5,Lazar,Grab,Grab,2019-07-24T17:20:00Z,NA
Trip13,0,0,2.382,2.158,5.263,0.156,13,6,Lazar,Grab,Grab,2019-07-24T17:20:00Z,NA
Trip13,0,0.021,6.502,5.415,13.207,0.235,13,7,Jarvis,Grab,Grab,2019-07-24T17:35:00Z,NA
Trip13,0,0.027,6.469,5.441,13.271,0.242,13,8,Jarvis,Grab,Grab,2019-07-24T17:35:00Z,NA
Trip13,0,0.012,6.457,5.457,13.311,0.243,13,9,Jarvis,Grab,Grab,2019-07-24T17:35:00Z,NA
Trip13,0,0,2.674,2.316,5.649,0.132,13,10,Chris-crk,Grab,Grab,2019-07-24T18:15:00Z,NA
Trip13,0,0,2.705,2.309,5.631,0.127,13,11,Chris-crk,Grab,Grab,2019-07-24T18:15:00Z,NA
Trip13,0,0,2.659,2.359,5.754,0.155,13,12,Chris-crk,Grab,Grab,2019-07-24T18:15:00Z,NA
Trip13,0,0.389,11.062,8.548,20.849,0.425,13,13,Weeks-out,Grab,Grab,2019-07-24T19:30:00Z,NA
Trip13,0,0.383,11.027,8.514,20.766,0.415,13,14,Weeks-out,Grab,Grab,2019-07-24T19:30:00Z,NA
Trip13,0,0.328,11.018,8.561,20.881,0.435,13,15,Weeks-out,Grab,Grab,2019-07-24T19:30:00Z,NA
Trip13,0,0,3.356,2.869,6.999,0.172,13,16,Leech-head,Grab,Grab,2019-07-24T19:50:00Z,NA
Trip13,0,0,3.348,2.878,7.02,0.177,13,17,Leech-head,Grab,Grab,2019-07-24T19:50:00Z,NA
Trip13,0,0,3.322,2.909,7.094,0.188,13,18,Leech-head,Grab,Grab,2019-07-24T19:50:00Z,NA
Trip13,0,0,2.159,1.924,4.692,0.14,13,19,Cragg-crk,Grab,Grab,2019-07-24T21:00:00Z,NA
Trip13,0,0,2.126,1.923,4.69,0.142,13,20,Cragg-crk,Grab,Grab,2019-07-24T21:00:00Z,NA
Trip13,0,0,2.148,1.924,4.694,0.142,13,21,Cragg-crk,Grab,Grab,2019-07-24T21:00:00Z,NA
Trip13,0,0,4.415,3.834,9.35,0.196,13,22,Deception-res,Lake,0m,2019-07-25T17:30:00Z,NA
Trip13,0,0,4.428,3.795,9.257,0.184,13,23,Deception-res,Lake,0m,2019-07-25T17:30:00Z,NA
Trip13,0,0,4.402,3.815,9.304,0.19,13,24,Deception-res,Lake,0m,2019-07-25T17:30:00Z,NA
Trip13,0,0,3.722,3.364,8.204,0.161,13,25,Jarvis-Lake,Lake,mid,2019-07-25T20:45:00Z,NA
Trip13,0,0,3.724,3.324,8.106,0.149,13,26,Jarvis-Lake,Lake,mid,2019-07-25T20:45:00Z,NA
Trip13,0,0,3.693,3.358,8.189,0.157,13,27,Jarvis-Lake,Lake,mid,2019-07-25T20:45:00Z,NA
Trip13,0,0.057,7.067,5.947,14.505,0.274,13,28,Weeks-Lake,Lake,Bottom,2019-07-26T18:00:00Z,NA
Trip13,0,0.071,7.081,5.945,14.501,0.269,13,29,Weeks-Lake,Lake,Bottom,2019-07-26T18:00:00Z,NA
Trip13,0,0.061,7.11,5.898,14.386,0.258,13,30,Weeks-Lake,Lake,Bottom,2019-07-26T18:00:00Z,NA
Trip13,0,0.058,7.055,5.97,14.562,0.284,13,31,Weeks-Lake,Lake,Secchi+1,2019-07-26T18:00:00Z,NA
Trip13,0,0.046,6.599,5.746,14.015,0.252,13,32,Weeks-Lake,Lake,Secchi+1,2019-07-26T18:00:00Z,NA
Trip13,0,0.05,6.641,5.715,13.939,0.239,13,33,Weeks-Lake,Lake,Secchi+1,2019-07-26T18:00:00Z,NA
Trip13,0,0.41,13.325,10.072,24.565,0.531,13,34,Weeks-out_aboveseep,Grab,Grab,2019-07-24T22:00:00Z,NA
Trip13,0,0.473,13.341,10.022,24.443,0.516,13,35,Weeks-out_aboveseep,Grab,Grab,2019-07-24T22:00:00Z,NA
